location,date,gdpPercap
Afghanistan,1952,779.4453145
Afghanistan,1957,820.8530296
Afghanistan,1962,853.10071
Afghanistan,1967,836.1971382
Afghanistan,1972,739.9811058
Afghanistan,1977,786.11336
Afghanistan,1982,978.0114388
Afghanistan,1987,852.3959448
Afghanistan,1992,649.3413952
Afghanistan,1997,635.341351
Afghanistan,2002,726.7340548
Afghanistan,2007,974.5803384
Albania,1952,1601.056136
Albania,1957,1942.284244
Albania,1962,2312.888958
Albania,1967,2760.196931
Albania,1972,3313.422188
Albania,1977,3533.00391
Albania,1982,3630.880722
Albania,1987,3738.932735
Albania,1992,2497.437901
Albania,1997,3193.054604
Albania,2002,4604.211737
Albania,2007,5937.029526
Algeria,1952,2449.008185
Algeria,1957,3013.976023
Algeria,1962,2550.81688
Algeria,1967,3246.991771
Algeria,1972,4182.663766
Algeria,1977,4910.416756
Algeria,1982,5745.160213
Algeria,1987,5681.358539
Algeria,1992,5023.216647
Algeria,1997,4797.295051
Algeria,2002,5288.040382
Algeria,2007,6223.367465
Angola,1952,3520.610273
Angola,1957,3827.940465
Angola,1962,4269.276742
Angola,1967,5522.776375
Angola,1972,5473.288005
Angola,1977,3008.647355
Angola,1982,2756.953672
Angola,1987,2430.208311
Angola,1992,2627.845685
Angola,1997,2277.140884
Angola,2002,2773.287312
Angola,2007,4797.231267
Argentina,1952,5911.315053
Argentina,1957,6856.856212
Argentina,1962,7133.166023
Argentina,1967,8052.953021
Argentina,1972,9443.038526
Argentina,1977,10079.02674
Argentina,1982,8997.897412
Argentina,1987,9139.671389
Argentina,1992,9308.41871
Argentina,1997,10967.28195
Argentina,2002,8797.640716
Argentina,2007,12779.37964
Australia,1952,10039.59564
Australia,1957,10949.64959
Australia,1962,12217.22686
Australia,1967,14526.12465
Australia,1972,16788.62948
Australia,1977,18334.19751
Australia,1982,19477.00928
Australia,1987,21888.88903
Australia,1992,23424.76683
Australia,1997,26997.93657
Australia,2002,30687.75473
Australia,2007,34435.36744
Austria,1952,6137.076492
Austria,1957,8842.59803
Austria,1962,10750.72111
Austria,1967,12834.6024
Austria,1972,16661.6256
Austria,1977,19749.4223
Austria,1982,21597.08362
Austria,1987,23687.82607
Austria,1992,27042.01868
Austria,1997,29095.92066
Austria,2002,32417.60769
Austria,2007,36126.4927
Bahrain,1952,9867.084765
Bahrain,1957,11635.79945
Bahrain,1962,12753.27514
Bahrain,1967,14804.6727
Bahrain,1972,18268.65839
Bahrain,1977,19340.10196
Bahrain,1982,19211.14731
Bahrain,1987,18524.02406
Bahrain,1992,19035.57917
Bahrain,1997,20292.01679
Bahrain,2002,23403.55927
Bahrain,2007,29796.04834
Bangladesh,1952,684.2441716
Bangladesh,1957,661.6374577
Bangladesh,1962,686.3415538
Bangladesh,1967,721.1860862
Bangladesh,1972,630.2336265
Bangladesh,1977,659.8772322
Bangladesh,1982,676.9818656
Bangladesh,1987,751.9794035
Bangladesh,1992,837.8101643
Bangladesh,1997,972.7700352
Bangladesh,2002,1136.39043
Bangladesh,2007,1391.253792
Belgium,1952,8343.105127
Belgium,1957,9714.960623
Belgium,1962,10991.20676
Belgium,1967,13149.04119
Belgium,1972,16672.14356
Belgium,1977,19117.97448
Belgium,1982,20979.84589
Belgium,1987,22525.56308
Belgium,1992,25575.57069
Belgium,1997,27561.19663
Belgium,2002,30485.88375
Belgium,2007,33692.60508
Benin,1952,1062.7522
Benin,1957,959.6010805
Benin,1962,949.4990641
Benin,1967,1035.831411
Benin,1972,1085.796879
Benin,1977,1029.161251
Benin,1982,1277.897616
Benin,1987,1225.85601
Benin,1992,1191.207681
Benin,1997,1232.975292
Benin,2002,1372.877931
Benin,2007,1441.284873
Bolivia,1952,2677.326347
Bolivia,1957,2127.686326
Bolivia,1962,2180.972546
Bolivia,1967,2586.886053
Bolivia,1972,2980.331339
Bolivia,1977,3548.097832
Bolivia,1982,3156.510452
Bolivia,1987,2753.69149
Bolivia,1992,2961.699694
Bolivia,1997,3326.143191
Bolivia,2002,3413.26269
Bolivia,2007,3822.137084
Bosnia and Herzegovina,1952,973.5331948
Bosnia and Herzegovina,1957,1353.989176
Bosnia and Herzegovina,1962,1709.683679
Bosnia and Herzegovina,1967,2172.352423
Bosnia and Herzegovina,1972,2860.16975
Bosnia and Herzegovina,1977,3528.481305
Bosnia and Herzegovina,1982,4126.613157
Bosnia and Herzegovina,1987,4314.114757
Bosnia and Herzegovina,1992,2546.781445
Bosnia and Herzegovina,1997,4766.355904
Bosnia and Herzegovina,2002,6018.975239
Bosnia and Herzegovina,2007,7446.298803
Botswana,1952,851.2411407
Botswana,1957,918.2325349
Botswana,1962,983.6539764
Botswana,1967,1214.709294
Botswana,1972,2263.611114
Botswana,1977,3214.857818
Botswana,1982,4551.14215
Botswana,1987,6205.88385
Botswana,1992,7954.111645
Botswana,1997,8647.142313
Botswana,2002,11003.60508
Botswana,2007,12569.85177
Brazil,1952,2108.944355
Brazil,1957,2487.365989
Brazil,1962,3336.585802
Brazil,1967,3429.864357
Brazil,1972,4985.711467
Brazil,1977,6660.118654
Brazil,1982,7030.835878
Brazil,1987,7807.095818
Brazil,1992,6950.283021
Brazil,1997,7957.980824
Brazil,2002,8131.212843
Brazil,2007,9065.800825
Bulgaria,1952,2444.286648
Bulgaria,1957,3008.670727
Bulgaria,1962,4254.337839
Bulgaria,1967,5577.0028
Bulgaria,1972,6597.494398
Bulgaria,1977,7612.240438
Bulgaria,1982,8224.191647
Bulgaria,1987,8239.854824
Bulgaria,1992,6302.623438
Bulgaria,1997,5970.38876
Bulgaria,2002,7696.777725
Bulgaria,2007,10680.79282
Burkina Faso,1952,543.2552413
Burkina Faso,1957,617.1834648
Burkina Faso,1962,722.5120206
Burkina Faso,1967,794.8265597
Burkina Faso,1972,854.7359763
Burkina Faso,1977,743.3870368
Burkina Faso,1982,807.1985855
Burkina Faso,1987,912.0631417
Burkina Faso,1992,931.7527731
Burkina Faso,1997,946.2949618
Burkina Faso,2002,1037.645221
Burkina Faso,2007,1217.032994
Burundi,1952,339.2964587
Burundi,1957,379.5646281
Burundi,1962,355.2032273
Burundi,1967,412.9775136
Burundi,1972,464.0995039
Burundi,1977,556.1032651
Burundi,1982,559.603231
Burundi,1987,621.8188189
Burundi,1992,631.6998778
Burundi,1997,463.1151478
Burundi,2002,446.4035126
Burundi,2007,430.0706916
Cambodia,1952,368.4692856
Cambodia,1957,434.0383364
Cambodia,1962,496.9136476
Cambodia,1967,523.4323142
Cambodia,1972,421.6240257
Cambodia,1977,524.9721832
Cambodia,1982,624.4754784
Cambodia,1987,683.8955732
Cambodia,1992,682.3031755
Cambodia,1997,734.28517
Cambodia,2002,896.2260153
Cambodia,2007,1713.778686
Cameroon,1952,1172.667655
Cameroon,1957,1313.048099
Cameroon,1962,1399.607441
Cameroon,1967,1508.453148
Cameroon,1972,1684.146528
Cameroon,1977,1783.432873
Cameroon,1982,2367.983282
Cameroon,1987,2602.664206
Cameroon,1992,1793.163278
Cameroon,1997,1694.337469
Cameroon,2002,1934.011449
Cameroon,2007,2042.09524
Canada,1952,11367.16112
Canada,1957,12489.95006
Canada,1962,13462.48555
Canada,1967,16076.58803
Canada,1972,18970.57086
Canada,1977,22090.88306
Canada,1982,22898.79214
Canada,1987,26626.51503
Canada,1992,26342.88426
Canada,1997,28954.92589
Canada,2002,33328.96507
Canada,2007,36319.23501
Central African Republic,1952,1071.310713
Central African Republic,1957,1190.844328
Central African Republic,1962,1193.068753
Central African Republic,1967,1136.056615
Central African Republic,1972,1070.013275
Central African Republic,1977,1109.374338
Central African Republic,1982,956.7529907
Central African Republic,1987,844.8763504
Central African Republic,1992,747.9055252
Central African Republic,1997,740.5063317
Central African Republic,2002,738.6906068
Central African Republic,2007,706.016537
Chad,1952,1178.665927
Chad,1957,1308.495577
Chad,1962,1389.817618
Chad,1967,1196.810565
Chad,1972,1104.103987
Chad,1977,1133.98495
Chad,1982,797.9081006
Chad,1987,952.386129
Chad,1992,1058.0643
Chad,1997,1004.961353
Chad,2002,1156.18186
Chad,2007,1704.063724
Chile,1952,3939.978789
Chile,1957,4315.622723
Chile,1962,4519.094331
Chile,1967,5106.654313
Chile,1972,5494.024437
Chile,1977,4756.763836
Chile,1982,5095.665738
Chile,1987,5547.063754
Chile,1992,7596.125964
Chile,1997,10118.05318
Chile,2002,10778.78385
Chile,2007,13171.63885
China,1952,400.448611
China,1957,575.9870009
China,1962,487.6740183
China,1967,612.7056934
China,1972,676.9000921
China,1977,741.2374699
China,1982,962.4213805
China,1987,1378.904018
China,1992,1655.784158
China,1997,2289.234136
China,2002,3119.280896
China,2007,4959.114854
Colombia,1952,2144.115096
Colombia,1957,2323.805581
Colombia,1962,2492.351109
Colombia,1967,2678.729839
Colombia,1972,3264.660041
Colombia,1977,3815.80787
Colombia,1982,4397.575659
Colombia,1987,4903.2191
Colombia,1992,5444.648617
Colombia,1997,6117.361746
Colombia,2002,5755.259962
Colombia,2007,7006.580419
Comoros,1952,1102.990936
Comoros,1957,1211.148548
Comoros,1962,1406.648278
Comoros,1967,1876.029643
Comoros,1972,1937.577675
Comoros,1977,1172.603047
Comoros,1982,1267.100083
Comoros,1987,1315.980812
Comoros,1992,1246.90737
Comoros,1997,1173.618235
Comoros,2002,1075.811558
Comoros,2007,986.1478792
"Congo, Dem. Rep.",1952,780.5423257
"Congo, Dem. Rep.",1957,905.8602303
"Congo, Dem. Rep.",1962,896.3146335
"Congo, Dem. Rep.",1967,861.5932424
"Congo, Dem. Rep.",1972,904.8960685
"Congo, Dem. Rep.",1977,795.757282
"Congo, Dem. Rep.",1982,673.7478181
"Congo, Dem. Rep.",1987,672.774812
"Congo, Dem. Rep.",1992,457.7191807
"Congo, Dem. Rep.",1997,312.188423
"Congo, Dem. Rep.",2002,241.1658765
"Congo, Dem. Rep.",2007,277.5518587
"Congo, Rep.",1952,2125.621418
"Congo, Rep.",1957,2315.056572
"Congo, Rep.",1962,2464.783157
"Congo, Rep.",1967,2677.939642
"Congo, Rep.",1972,3213.152683
"Congo, Rep.",1977,3259.178978
"Congo, Rep.",1982,4879.507522
"Congo, Rep.",1987,4201.194937
"Congo, Rep.",1992,4016.239529
"Congo, Rep.",1997,3484.164376
"Congo, Rep.",2002,3484.06197
"Congo, Rep.",2007,3632.557798
Costa Rica,1952,2627.009471
Costa Rica,1957,2990.010802
Costa Rica,1962,3460.937025
Costa Rica,1967,4161.727834
Costa Rica,1972,5118.146939
Costa Rica,1977,5926.876967
Costa Rica,1982,5262.734751
Costa Rica,1987,5629.915318
Costa Rica,1992,6160.416317
Costa Rica,1997,6677.045314
Costa Rica,2002,7723.447195
Costa Rica,2007,9645.06142
Cote d'Ivoire,1952,1388.594732
Cote d'Ivoire,1957,1500.895925
Cote d'Ivoire,1962,1728.869428
Cote d'Ivoire,1967,2052.050473
Cote d'Ivoire,1972,2378.201111
